%YYMM   CRD 
1994.12   19100.00 
1995.01   16900.00 
1995.02   15900.00 
1995.03   19400.00 
1995.04   24300.00 
1995.05   34400.00 
1995.06   53500.00 
1995.07   66000.00 
1995.08   45000.00 
1995.09   34700.00 
1995.10   29700.00 
1995.11   19600.00 
1995.12   12100.00 
1996.01   10700.00 
1996.02   10700.00 
1996.03   11600.00 
1996.04   26100.00 
1996.05   25500.00 
1996.06   40700.00 
1996.07   63300.00 
1996.08   63500.00 
1996.09   42200.00 
1996.10   28300.00 
1996.11   23500.00 
1996.12   14100.00 
1997.01   10500.00 
1997.02   13800.00 
1997.03   14900.00 
1997.04   25900.00 
1997.05   29900.00 
1997.06   34100.00 
1997.07   52400.00 
1997.08   45800.00 
1997.09   29200.00 
1997.10   26900.00 
1997.11   18000.00 
1997.12   20600.00 
1998.01   24700.00 
1998.02   22500.00 
1998.03   32500.00 
1998.04   29300.00 
1998.05   32900.00 
1998.06   45700.00 
1998.07   75000.00 
1998.08   77100.00 
1998.09   63800.00 
1998.10   38000.00 
1998.11   19000.00 
1998.12   11300.00 
1999.01    9480.00 
1999.02    9110.00 
1999.03   10300.00 
1999.04   20300.00 
1999.05   34000.00 
1999.06   42000.00 
1999.07   73900.00 
1999.08   60100.00 
1999.09   56400.00 
1999.10   37100.00 
1999.11   24900.00 
1999.12   15400.00 
2000.01   12800.00 
2000.02   12300.00 
2000.03   19600.00 
2000.04   22300.00 
2000.05   22600.00 
2000.06   39000.00 
2000.07   50800.00 
2000.08   39500.00 
2000.09   42200.00 
2000.10   38700.00 
2000.11   32800.00 
2000.12   18600.00 
2001.01   15519.00 
2001.02   17207.00 
2001.03   15261.00 
2001.04   23060.00 
2001.05   34054.00 
2001.06   35666.00 
2001.07   39919.00 
2001.08   30396.00 
2001.09   36516.00 
2001.10   30403.00 
2001.11   21930.00 
2001.12   13512.00 
2002.01   10163.00 
2002.02   10687.00 
2002.03   18000.00 
2002.04   22596.00 
2002.05   49129.00 
2002.06   45260.00 
2002.07   54445.00 
2002.08   53651.00 
2002.09   44293.00 
2002.10   23958.00 
2002.11   24703.00 
2002.12   19158.00 
2003.01   17500.00 
2003.02   17221.00 
2003.03   23070.00 
2003.04   25090.00 
2003.05   38229.00 
2003.06   37090.00 
2003.07   55109.00 
2003.08   38112.00 
2003.09   40156.00 
2003.10   31977.00 
2003.11   15756.00 
2003.12   11438.00 
2004.01   10305.00 
2004.02    9253.00 
2004.03   13959.00 
2004.04   18406.00 
2004.05   30096.00 
2004.06   35286.00 
2004.07   42245.00 
2004.08   40290.00 
2004.09   38296.00 
2004.10   29283.00 
2004.11   18263.00 
2004.12   13493.00 
2005.01   11824.00 
2005.02   19471.00 
2005.03   19361.00 
2005.04   19527.00 
2005.05   30313.00 
2005.06   46350.00 
2005.07   40106.00 
2005.08   41000.00 
2005.09   48240.00 
2005.10   31414.00 
2005.11   23785.00 
2005.12   14007.00 
2006.01   11449.00 
2006.02   11637.00 
2006.03   21160.00 
2006.04   23882.00 
2006.05   30690.00 
2006.06   38534.00 
2006.07   37277.00 
2006.08   27429.00 
2006.09   25038.00 
2006.10   18606.00 
2006.11   13642.00 
2006.12   13929.00 
2007.01   10487.00 
2007.02   11679.00 
2007.03   17794.00 
2007.04   17194.00 
2007.05   20392.00 
2007.06   31207.00 
2007.07   42982.00 
2007.08   47829.00 
2007.09   40920.00 
2007.10   26094.00 
2007.11   15213.00 
2007.12   11103.00 
2008.01   10778.00 
2008.02   11962.00 
2008.03   12516.00 
2008.04   24277.00 
2008.05   24990.00 
2008.06   33730.00 
2008.07   37077.00 
2008.08   39997.00 
2008.09   43870.00 
2008.10   27516.00 
2008.11   29350.00 
2008.12   17394.00 
2009.01   11855.00 
2009.02   11829.00 
2009.03   23742.00 
2009.04   22817.00 
2009.05   32297.00 
2009.06   35967.00 
2009.07   40142.00 
2009.08   42442.00 
2009.09   32510.00 
2009.10   17560.00 
2009.11   13923.00 
2009.12   12590.00 
2010.01   12054.00 
2010.02   15457.00 
2010.03   20474.00 
2010.04   30330.00 
2010.05   39929.00 
2010.06   50230.00 
2010.07   61270.00 
2010.08   51264.00 
2010.09   41953.00 
2010.10   30819.00 
2010.11   18040.00 
2010.12   15100.00 
2011.01   15456.00
2011.02   13984.00
2011.03   14502.00
2011.04   16000.00
2011.05   16531.00
2011.06   33657.00
2011.07   37023.00
2011.08   30063.00
2011.09   23118.00
2011.10   20748.00
2011.11   18962.00
2011.12   13984.00
2012.01   11600	
2012.02   14900	
2012.03   16100	
2012.04   20200
2012.05   38800	
2012.06   47600
2012.07   49000
2012.08   57600
2012.09   41000
2012.10   27900
2012.11   19400
2012.12   20700
2013.01   12193.4
2013.02   13640.3
2013.03   18533.7
2013.04   22717.9
2013.05   33011.9
2013.06   38932  
2013.07   45057.2
2013.08   41241  
2013.09   39179.2
2013.10   26763  
2013.11   19460.5
2013.12   14172.4
